image_path,class
../data/raw/Abra/0282b2f3a22745f1a436054ea15a0ae5.jpg,0
../data/raw/Abra/06b9eec4827d4d49b1b4c284308708df.jpg,0
../data/raw/Abra/10a9f06ec6524c66b779ea80354f8519.jpg,0
../data/raw/Abra/1788abb8b51f48509cfac8067bd99e14.jpg,0
../data/raw/Abra/28cfad92ad934d1f9b579cbff4b5d012.jpg,0
../data/raw/Abra/2eb2a528f9a247358452b3c740df69a0.jpg,0
../data/raw/Abra/2fd28e699b7c4208acd1637fbad5df2d.jpeg,0
../data/raw/Abra/32240b108a8140f8b31c495166fc453c.jpg,0
../data/raw/Abra/34532bb006714727ade4075f0a72b92d.jpg,0
../data/raw/Abra/3680c3f65a484c3ba05a7cb93e1d7ae3.jpg,0
../data/raw/Abra/3c4ab4f4e1d548e5bc038715b47b4d51.jpg,0
../data/raw/Abra/48412baa8527483d8e8ddb8555d2eeff.jpg,0
../data/raw/Abra/4e554e4a0f624656a7b1542b679b6157.jpg,0
../data/raw/Abra/586c195c0bcd48158db71c1d7f75197c.jpg,0
../data/raw/Abra/5c0ca320656b4f2fadea7aefeb80da53.jpg,0
../data/raw/Abra/6119be89c1d24539a0310f40b947afc1.jpg,0
../data/raw/Abra/649a7e234cac44feba6da6652127f423.jpg,0
../data/raw/Abra/7a300d6f799c48d1943cafaa5ab24e27.jpg,0
../data/raw/Abra/7b9859252d9346f6b3e7bc46d423c116.jpg,0
../data/raw/Abra/86c823fe351549c7818efd6ca718556e.jpg,0
../data/raw/Abra/95f205f244b54c00920626d669ea83e1.jpg,0
../data/raw/Abra/9754fcfa5d39464785f953e7c9da73d1.jpg,0
../data/raw/Abra/aabb27dd7e1c4508880bd8cc1141c340.jpg,0
../data/raw/Abra/b065da5f186d4f9db497012350b31a9f.jpg,0
../data/raw/Abra/b0b6de31451f4e7aa3411fe0963a7f4f.jpg,0
../data/raw/Abra/bd0873f54401446cacfafdac70f82cd3.jpg,0
../data/raw/Abra/bdd70647363b47d0a97a6a9a1a7dd469.jpg,0
../data/raw/Abra/c1c82c89958a4839a074910de72df05a.jpg,0
../data/raw/Abra/c241146097b44c2e98ee7e473f90074a.jpg,0
../data/raw/Abra/c9ab368481e446d685b1c1fdb42487df.jpg,0
../data/raw/Abra/d1ba8548fced4b53821bfc1e0612324f.jpg,0
../data/raw/Abra/e106e14eb8b54eff8bea6f765ea9d20c.jpg,0
../data/raw/Abra/e297786c64574fbbb264dc6274aa5864.jpg,0
../data/raw/Abra/e3da65f45d7841c8a14d591a24c0e2bc.jpg,0
../data/raw/Abra/ff32e38a281d48d2bb2c7157fd6448d0.jpg,0
../data/raw/Aerodactyl/029d0c659dc448f49993648b024e615c.jpg,1
../data/raw/Aerodactyl/0598db9a1de245db9719661466001511.jpg,1
../data/raw/Aerodactyl/0813a450419f4733bfa5f782810219a8.jpg,1
../data/raw/Aerodactyl/0a15b831d1b947fda035aaf637c58215.jpg,1
../data/raw/Aerodactyl/0eab1e1f744340fa87268f2b558c7ccf.jpg,1
../data/raw/Aerodactyl/0f5ec128d07341989cb8786fec08c885.jpg,1
../data/raw/Aerodactyl/1727be397509465f9d3dafbf3849a8f1.jpg,1
../data/raw/Aerodactyl/25adea61e7624a84a8fbe88d7dcbeb6e.jpg,1
../data/raw/Aerodactyl/25d15a304c354f3e8064249cf704370d.jpg,1
../data/raw/Aerodactyl/263b3cb088e5448e99335fbda8f73ee7.jpg,1
../data/raw/Aerodactyl/35933037ff854c2784e5199f6dc8a728.jpg,1
../data/raw/Aerodactyl/3a3db872afba41279604c7cda5eeeed7.jpg,1
../data/raw/Aerodactyl/41e07cd07e9a4d25b9ad5a9ca08f3b5e.jpg,1
../data/raw/Aerodactyl/4c7989f0dc414bb189a4990659dc0e3f.jpg,1
../data/raw/Aerodactyl/523b396d18584c35a45823b6a145eff6.jpg,1
../data/raw/Aerodactyl/79f94a276b9a4e06b4884c3b77ef4622.jpg,1
../data/raw/Aerodactyl/7fb69a33c0ca4c458812233bb4084b01.jpg,1
../data/raw/Aerodactyl/8c1a69bc6f3746bdabacd8d658041dcb.jpg,1
../data/raw/Aerodactyl/8e1000fe38a640c2b74abc74e93eb049.jpg,1
../data/raw/Aerodactyl/9130363164c248e39ef9b2f51efef1df.jpg,1
../data/raw/Aerodactyl/91a6d66ed71e45c4a7a5a7917ab44666.jpg,1
../data/raw/Aerodactyl/9509421af9a04d038cfca99ad0f2b885.jpg,1
../data/raw/Aerodactyl/97ecd443cbf64b31838c723d80b0f1be.jpg,1
../data/raw/Aerodactyl/a1eb1fcdf2ea490aa3dc6b49a8c88fd5.jpg,1
../data/raw/Aerodactyl/affe04e2007d4f53a42849bd96cd0520.jpg,1
../data/raw/Aerodactyl/bb6be0f790654421a4456b1b9242e0a1.jpg,1
../data/raw/Aerodactyl/bf5489f37c6f4dd688e59254d3bddcab.jpg,1
../data/raw/Aerodactyl/d1d381e5f2df42a0973e0251751e1a14.jpg,1
../data/raw/Aerodactyl/d995b3fc3cbe47e4811493dd8f1c4ada.jpg,1
